persona_key,index,iteration,word_count,within_sim,between_sim,delta_sim
control,200,1,171,0.8826905488967896,0.8254542946815491,0.05723625421524048
control,201,2,137,0.910516083240509,0.8753135204315186,0.03520256280899048
control,202,3,121,0.8878812193870544,0.8799495100975037,0.007931709289550781
control,203,4,182,0.9210599660873413,0.9191271066665649,0.0019328594207763672
control,204,5,233,0.903994619846344,0.934085488319397,-0.03009086847305298
control,205,6,249,0.9109727144241333,0.934798538684845,-0.02382582426071167
control,206,7,211,0.8811792135238647,0.8606611490249634,0.020518064498901367
control,207,8,192,0.8936983346939087,0.9216699600219727,-0.027971625328063965
control,208,9,190,0.8962488174438477,0.8648366928100586,0.03141212463378906
control,209,10,193,0.9001206159591675,0.9103212356567383,-0.0102006196975708
control,210,11,131,0.8535003662109375,0.8243610262870789,0.029139339923858643
control,211,12,252,0.8558822870254517,0.8787877559661865,-0.022905468940734863
control,212,13,264,0.8535434007644653,0.8705127239227295,-0.01696932315826416
control,213,14,180,0.8011387586593628,0.7647441625595093,0.036394596099853516
control,214,15,307,0.8859488368034363,0.8487693667411804,0.03717947006225586
control,215,16,307,0.931870698928833,0.9230383634567261,0.008832335472106934
control,216,17,243,0.8794040679931641,0.8728082776069641,0.006595790386199951
control,217,18,202,0.8801895976066589,0.8635618686676025,0.016627728939056396
control,218,19,253,0.9135727882385254,0.9037222862243652,0.009850502014160156
control,219,20,261,0.892924964427948,0.8603874444961548,0.03253751993179321
control,220,21,166,0.9308227300643921,0.8774034380912781,0.053419291973114014
control,221,22,212,0.9033013582229614,0.86832594871521,0.034975409507751465
control,222,23,228,0.8695895671844482,0.842047929763794,0.027541637420654297
control,223,24,194,0.9360909461975098,0.9113519191741943,0.02473902702331543
control,224,25,200,0.9121385812759399,0.8784080743789673,0.033730506896972656
control,225,26,193,0.8546799421310425,0.8088933229446411,0.04578661918640137
control,226,27,179,0.9002115726470947,0.8545751571655273,0.04563641548156738
control,227,28,127,0.8517289161682129,0.8105596303939819,0.04116928577423096
control,228,29,224,0.8830206394195557,0.897498607635498,-0.014477968215942383
control,229,30,188,0.8961693048477173,0.8847700357437134,0.011399269104003906
control,230,31,170,0.9120667576789856,0.883437991142273,0.028628766536712646
control,231,32,228,0.9093966484069824,0.8745152354240417,0.034881412982940674
control,232,33,215,0.9010506868362427,0.8749890923500061,0.026061594486236572
control,233,34,225,0.9062115550041199,0.8907771110534668,0.015434443950653076
control,234,35,213,0.9127344489097595,0.8786798715591431,0.034054577350616455
control,235,36,105,0.8686981201171875,0.8271337747573853,0.041564345359802246
control,236,37,237,0.9089562892913818,0.898582398891449,0.010373890399932861
control,237,38,219,0.9476678371429443,0.9323959350585938,0.015271902084350586
control,238,39,238,0.8747001886367798,0.8889627456665039,-0.014262557029724121
control,239,40,193,0.8842309713363647,0.8414846062660217,0.04274636507034302
culture_seeker,160,1,327,0.9312955737113953,0.8457822799682617,0.08551329374313354
culture_seeker,161,2,271,0.9089086055755615,0.8317195177078247,0.07718908786773682
culture_seeker,162,3,324,0.9138997793197632,0.8327648639678955,0.08113491535186768
culture_seeker,163,4,284,0.8985098004341125,0.889907717704773,0.0086020827293396
culture_seeker,164,5,262,0.8969652652740479,0.8532874584197998,0.04367780685424805
culture_seeker,165,6,274,0.8938385248184204,0.8338810205459595,0.05995750427246094
culture_seeker,166,7,282,0.9297332167625427,0.876632034778595,0.053101181983947754
culture_seeker,167,8,326,0.9200549125671387,0.8620281219482422,0.058026790618896484
culture_seeker,168,9,284,0.9059792757034302,0.8776414394378662,0.028337836265563965
culture_seeker,169,10,269,0.9149543046951294,0.8693143129348755,0.045639991760253906
culture_seeker,170,11,302,0.9407640695571899,0.8751569986343384,0.06560707092285156
culture_seeker,171,12,290,0.9494238495826721,0.8861960172653198,0.0632278323173523
culture_seeker,172,13,265,0.8266894817352295,0.834731936454773,-0.008042454719543457
culture_seeker,173,14,284,0.8642868995666504,0.824829638004303,0.03945726156234741
culture_seeker,174,15,259,0.8736936450004578,0.8730889558792114,0.0006046891212463379
culture_seeker,175,16,288,0.9377908110618591,0.8629497289657593,0.07484108209609985
culture_seeker,176,17,239,0.9343764185905457,0.9147742390632629,0.019602179527282715
culture_seeker,177,18,273,0.9356292486190796,0.8831531405448914,0.05247610807418823
culture_seeker,178,19,289,0.9480315446853638,0.8965178728103638,0.051513671875
culture_seeker,179,20,303,0.9110440015792847,0.8356114029884338,0.07543259859085083
culture_seeker,180,21,255,0.9393553733825684,0.8777173161506653,0.061638057231903076
culture_seeker,181,22,285,0.9042196273803711,0.8772892951965332,0.02693033218383789
culture_seeker,182,23,285,0.8902182579040527,0.8168728351593018,0.07334542274475098
culture_seeker,183,24,291,0.9370794296264648,0.9127532243728638,0.024326205253601074
culture_seeker,184,25,282,0.9291106462478638,0.8651352524757385,0.06397539377212524
culture_seeker,185,26,294,0.8865804672241211,0.9019712209701538,-0.015390753746032715
culture_seeker,186,27,293,0.9363855123519897,0.889829158782959,0.04655635356903076
culture_seeker,187,28,313,0.9146233797073364,0.8403107523918152,0.07431262731552124
culture_seeker,188,29,231,0.9086143374443054,0.9096488952636719,-0.001034557819366455
culture_seeker,189,30,235,0.9416958093643188,0.9029717445373535,0.03872406482696533
culture_seeker,190,31,271,0.9020013809204102,0.7969927787780762,0.10500860214233398
culture_seeker,191,32,251,0.9195831418037415,0.9010188579559326,0.018564283847808838
culture_seeker,192,33,317,0.9313725233078003,0.8725026845932007,0.05886983871459961
culture_seeker,193,34,327,0.9025747776031494,0.8096235990524292,0.09295117855072021
culture_seeker,194,35,273,0.9079612493515015,0.846671462059021,0.06128978729248047
culture_seeker,195,36,236,0.9245021343231201,0.8973300457000732,0.027172088623046875
culture_seeker,196,37,310,0.9019560813903809,0.8564382791519165,0.045517802238464355
culture_seeker,197,38,309,0.9144654870033264,0.8415247201919556,0.07294076681137085
culture_seeker,198,39,249,0.9325870275497437,0.8663102388381958,0.06627678871154785
culture_seeker,199,40,297,0.9283608198165894,0.8862975835800171,0.042063236236572266
homebody,80,1,262,0.9399956464767456,0.8920716643333435,0.0479239821434021
homebody,81,2,243,0.9026218056678772,0.8959554433822632,0.006666362285614014
homebody,82,3,332,0.9217389822006226,0.8950433731079102,0.026695609092712402
homebody,83,4,324,0.9262166023254395,0.8843151330947876,0.041901469230651855
homebody,84,5,184,0.9150512218475342,0.9175589084625244,-0.0025076866149902344
homebody,85,6,340,0.9044830203056335,0.9079043865203857,-0.0034213662147521973
homebody,86,7,242,0.8818560838699341,0.8482787609100342,0.0335773229598999
homebody,87,8,264,0.9377903938293457,0.9102546572685242,0.027535736560821533
homebody,88,9,269,0.937019407749176,0.9405397176742554,-0.0035203099250793457
homebody,89,10,233,0.901335597038269,0.9304097890853882,-0.02907419204711914
homebody,90,11,319,0.9499366283416748,0.9224121570587158,0.027524471282958984
homebody,91,12,263,0.9375579953193665,0.9051109552383423,0.03244704008102417
homebody,92,13,287,0.9164211750030518,0.930375874042511,-0.013954699039459229
homebody,93,14,225,0.9053562879562378,0.8804304599761963,0.024925827980041504
homebody,94,15,244,0.9274730086326599,0.9141092896461487,0.01336371898651123
homebody,95,16,274,0.8930689096450806,0.8547524213790894,0.03831648826599121
homebody,96,17,295,0.8495303392410278,0.8342064619064331,0.015323877334594727
homebody,97,18,253,0.9035351276397705,0.8893829584121704,0.014152169227600098
homebody,98,19,249,0.9201302528381348,0.9046512842178345,0.015478968620300293
homebody,99,20,317,0.9186450839042664,0.8905417323112488,0.028103351593017578
homebody,100,21,245,0.9209780097007751,0.9019915461540222,0.01898646354675293
homebody,101,22,298,0.9359565377235413,0.8823320269584656,0.053624510765075684
homebody,102,23,297,0.9513522982597351,0.9280579090118408,0.023294389247894287
homebody,103,24,227,0.9089023470878601,0.9189246892929077,-0.010022342205047607
homebody,104,25,233,0.9235695600509644,0.8945326209068298,0.02903693914413452
homebody,105,26,298,0.8551527857780457,0.8320561647415161,0.02309662103652954
homebody,106,27,265,0.9367471933364868,0.9150934219360352,0.02165377140045166
homebody,107,28,279,0.9086943864822388,0.8958597183227539,0.012834668159484863
homebody,108,29,305,0.904774010181427,0.9101966619491577,-0.005422651767730713
homebody,109,30,267,0.8734240531921387,0.8326073884963989,0.040816664695739746
homebody,110,31,254,0.9302428364753723,0.904640793800354,0.02560204267501831
homebody,111,32,320,0.9122381210327148,0.8741793632507324,0.03805875778198242
homebody,112,33,294,0.9446780681610107,0.9360909461975098,0.008587121963500977
homebody,113,34,280,0.8934230804443359,0.8464329242706299,0.046990156173706055
homebody,114,35,254,0.8864561915397644,0.8830010890960693,0.0034551024436950684
homebody,115,36,307,0.9347641468048096,0.893536388874054,0.041227757930755615
homebody,116,37,256,0.9143137335777283,0.8942036628723145,0.02011007070541382
homebody,117,38,320,0.9325840473175049,0.8911888599395752,0.04139518737792969
homebody,118,39,224,0.9270578026771545,0.9021904468536377,0.024867355823516846
homebody,119,40,306,0.9408876895904541,0.9142283201217651,0.026659369468688965
party_captain,40,1,271,0.9355572462081909,0.9431068301200867,-0.007549583911895752
party_captain,41,2,167,0.871526300907135,0.771567702293396,0.09995859861373901
party_captain,42,3,229,0.8950652480125427,0.8587442636489868,0.03632098436355591
party_captain,43,4,159,0.835950493812561,0.8117289543151855,0.02422153949737549
party_captain,44,5,222,0.918980598449707,0.8938149213790894,0.025165677070617676
party_captain,45,6,177,0.8639959096908569,0.8140438795089722,0.049952030181884766
party_captain,46,7,267,0.7511794567108154,0.7188928127288818,0.032286643981933594
party_captain,47,8,136,0.8599666357040405,0.8023996353149414,0.05756700038909912
party_captain,48,9,206,0.8781803250312805,0.8069401979446411,0.0712401270866394
party_captain,49,10,216,0.9157373309135437,0.8482929468154907,0.06744438409805298
party_captain,50,11,140,0.7674375772476196,0.6177555322647095,0.14968204498291016
party_captain,51,12,236,0.9240733981132507,0.9155206680297852,0.008552730083465576
party_captain,52,13,235,0.8834384679794312,0.8696506023406982,0.01378786563873291
party_captain,53,14,131,0.8234947323799133,0.7437854409217834,0.07970929145812988
party_captain,54,15,259,0.8736187219619751,0.8654007315635681,0.008217990398406982
party_captain,55,16,175,0.880477786064148,0.8931750059127808,-0.012697219848632812
party_captain,56,17,178,0.9041341543197632,0.8137744665145874,0.09035968780517578
party_captain,57,18,231,0.86965012550354,0.8703478574752808,-0.0006977319717407227
party_captain,58,19,132,0.8292142152786255,0.7436740398406982,0.08554017543792725
party_captain,59,20,244,0.8479974865913391,0.8731929063796997,-0.025195419788360596
party_captain,60,21,179,0.9216827154159546,0.8341147899627686,0.08756792545318604
party_captain,61,22,262,0.9199209213256836,0.915250301361084,0.004670619964599609
party_captain,62,23,203,0.8612220287322998,0.7693189978599548,0.09190303087234497
party_captain,63,24,176,0.8604746460914612,0.7686683535575867,0.09180629253387451
party_captain,64,25,203,0.8928066492080688,0.844288170337677,0.048518478870391846
party_captain,65,26,186,0.9152960777282715,0.8473897576332092,0.06790632009506226
party_captain,66,27,210,0.9207335710525513,0.9228651523590088,-0.0021315813064575195
party_captain,67,28,190,0.8433606624603271,0.7353987693786621,0.10796189308166504
party_captain,68,29,82,0.7657043933868408,0.7225794196128845,0.0431249737739563
party_captain,69,30,212,0.9122655987739563,0.8366596698760986,0.07560592889785767
party_captain,70,31,154,0.8406137228012085,0.7934355735778809,0.04717814922332764
party_captain,71,32,182,0.912984311580658,0.8389006853103638,0.07408362627029419
party_captain,72,33,154,0.8785234093666077,0.8324592113494873,0.04606419801712036
party_captain,73,34,191,0.9229341745376587,0.8643712401390076,0.05856293439865112
party_captain,74,35,270,0.9070389866828918,0.9241254329681396,-0.017086446285247803
party_captain,75,36,229,0.8875153660774231,0.8569111824035645,0.030604183673858643
party_captain,76,37,134,0.8845823407173157,0.7955955266952515,0.08898681402206421
party_captain,77,38,82,0.8633220195770264,0.8358606100082397,0.02746140956878662
party_captain,78,39,257,0.7881731986999512,0.7126219868659973,0.07555121183395386
party_captain,79,40,218,0.9186437129974365,0.8538537621498108,0.06478995084762573
planner,0,1,326,0.9271330833435059,0.8823727369308472,0.04476034641265869
